retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,eopen,tenure,recency
0,2010-02-10,2011-01-25,2014-12-01,13,61.53846154,15.38461538,156.54,0.11911357300000001,1,0,0,Monday,DEL,9,4.808219178082192,4.002739726027397
1,2010-08-30,2012-12-03,2013-10-15,48,8.333333332999999,2.083333333,101.06,0.037800687,0,0,0,Monday,DEL,4,3.128767123287671,5.131506849315069
1,2011-02-02,2011-10-04,2014-01-19,57,17.54385965,0.0,14.02,0.06600985200000001,0,0,0,Monday,BOM,11,2.9643835616438357,4.868493150684931
1,2010-09-14,2011-03-05,2014-01-15,46,65.21739129999999,8.695652174,79.39,0.069838057,1,0,0,Thursday,DEL,30,3.33972602739726,4.879452054794521
1,2010-12-18,2010-12-19,2012-07-18,47,2.127659574,0.0,79.88,0.0069324090000000005,0,0,0,Wednesday,DEL,1,1.5835616438356164,6.375342465753425
1,2010-12-08,2012-08-22,2013-01-05,47,19.14893617,10.63829787,115.25,0.13888888900000002,1,0,0,Wednesday,DEL,9,2.0794520547945203,5.906849315068493
0,2010-04-24,2010-12-20,2011-11-17,0,0.0,0.0,35.86,0.006024096,0,0,0,Tuesday,DEL,0,1.5671232876712329,7.043835616438356
0,2009-11-17,2009-11-24,2013-08-10,0,0.0,0.0,75.54,0.007072136,0,0,0,Monday,DEL,0,3.7315068493150685,5.3123287671232875
1,2010-07-24,2010-07-29,2011-11-28,31,100.0,9.677419355,59.67,0.016427105,0,0,0,Thursday,DEL,31,1.347945205479452,7.013698630136986
1,2009-07-24,2010-05-23,2013-07-03,46,6.52173913,4.347826087,59.11,0.015701668000000002,1,0,0,Friday,BOM,3,3.9452054794520546,5.416438356164384
1,2011-01-26,2011-02-28,2013-12-17,49,36.73469388,20.40816327,33.87,0.026392962000000002,0,0,0,Monday,BOM,19,2.893150684931507,4.958904109589041
1,2010-08-28,2011-05-17,2011-06-14,16,0.0,0.0,64.82,0.071428571,0,0,0,Tuesday,DEL,0,0.7945205479452054,7.471232876712329
1,2011-01-29,2012-08-19,2012-08-19,45,11.11111111,0.0,60.94,0.0,0,0,0,Tuesday,BOM,5,1.5561643835616439,6.287671232876712
0,2009-04-24,2009-04-24,2009-04-24,0,0.0,0.0,15.64,0.0,0,0,0,Tuesday,DEL,0,0.0,9.610958904109589
1,2010-09-13,2011-07-11,2012-09-28,47,2.127659574,0.0,37.24,0.036809816,0,0,0,Wednesday,DEL,1,2.043835616438356,6.178082191780822
1,2011-04-22,2011-04-28,2012-01-22,16,0.0,0.0,165.95,0.007434944000000001,0,0,0,Friday,BOM,0,0.7534246575342466,6.863013698630137
1,2010-08-20,2010-08-30,2010-08-30,45,0.0,0.0,74.74,0.0,0,0,0,Friday,BOM,0,0.0273972602739726,8.26027397260274
0,2011-04-01,2011-04-13,2013-06-10,0,0.0,0.0,178.44,0.045203969000000004,0,0,0,Wednesday,DEL,0,2.1945205479452055,5.47945205479452
0,2011-08-03,2011-08-03,2011-08-03,0,0.0,0.0,43.54,0.0,0,0,0,Tuesday,BOM,0,0.0,7.3342465753424655
0,2011-01-20,2011-07-04,2012-12-04,0,0.0,0.0,103.64,0.016172507,0,0,0,Thursday,BOM,0,1.873972602739726,5.994520547945205
0,2009-10-11,2009-10-11,2009-10-11,0,0.0,0.0,28.63,0.0,0,0,0,Wednesday,DEL,0,0.0,9.145205479452056
0,2009-06-20,2009-07-13,2009-07-13,0,0.0,0.0,21.97,0.0,0,0,0,Thursday,DEL,0,0.06301369863013699,9.391780821917807
1,2010-02-26,2010-10-04,2013-04-29,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,Tuesday,DEL,1,3.1726027397260275,5.594520547945206
1,2009-11-11,2010-12-04,2013-03-11,50,10.0,4.0,33.38,0.005380477,0,0,0,Monday,DEL,5,3.3315068493150686,5.728767123287671
1,2010-10-19,2010-10-19,2010-10-19,45,0.0,0.0,22.92,0.0,0,0,0,Wednesday,DEL,0,0.0,8.123287671232877
0,2010-04-03,2011-02-03,2012-02-27,0,0.0,0.0,125.97,0.035911602,0,0,0,Monday,DEL,0,1.904109589041096,6.764383561643836
0,2009-07-19,2009-10-22,2009-11-17,0,0.0,0.0,61.85,0.269230769,0,0,0,Friday,DEL,0,0.3315068493150685,9.043835616438356
0,2010-03-08,2010-09-08,2010-09-08,0,0.0,0.0,101.3,0.0,0,0,0,Wednesday,DEL,0,0.5041095890410959,8.235616438356164
0,2010-07-09,2011-10-26,2011-10-26,0,0.0,0.0,55.9,0.0,0,0,0,Thursday,BOM,0,1.2986301369863014,7.104109589041096
1,2010-06-21,2010-06-28,2011-06-27,18,0.0,0.0,132.31,0.027472527000000004,0,0,0,Monday,DEL,0,1.0164383561643835,7.435616438356164
1,2009-05-14,2010-12-03,2010-12-03,16,0.0,0.0,39.16,0.0,0,0,0,Friday,DEL,0,1.5561643835616439,8.0
1,2010-07-13,2011-03-28,2013-02-10,23,95.65217391,0.0,68.82,0.032644177999999996,0,0,0,Monday,BOM,22,2.5835616438356164,5.808219178082192
1,2010-05-10,2013-10-26,2013-10-26,34,14.70588235,0.0,44.05,0.0,0,1,0,Tuesday,BOM,5,3.4657534246575343,5.101369863013699
1,2010-06-14,2011-04-28,2013-01-07,41,43.90243902,0.0,27.11,0.065408805,1,0,0,Thursday,DEL,18,2.56986301369863,5.901369863013699
0,2010-08-26,2010-09-23,2012-11-25,0,0.0,0.0,65.77,0.018891688,1,0,0,Wednesday,MAA,0,2.252054794520548,6.019178082191781
1,2010-05-09,2010-06-09,2012-06-18,42,26.19047619,2.3809523809999997,44.97,0.006144393000000001,0,0,0,Tuesday,BOM,11,2.1123287671232878,6.457534246575342
0,2010-09-20,2010-10-14,2010-10-14,0,0.0,0.0,69.69,0.0,0,0,0,Thursday,DEL,0,0.06575342465753424,8.136986301369863
0,2011-03-15,2011-03-28,2011-11-04,33,75.75757576,0.0,49.76,0.214285714,0,0,0,Tuesday,DEL,26,0.6410958904109589,7.079452054794521
1,2010-06-16,2010-06-21,2010-06-21,16,0.0,0.0,81.95,0.0,0,0,0,Wednesday,DEL,0,0.0136986301369863,8.452054794520548
0,2010-03-11,2010-03-11,2012-06-02,0,0.0,0.0,134.18,0.015217391,1,0,0,Tuesday,BOM,0,2.23013698630137,6.501369863013698
1,2008-02-10,2008-02-10,2008-02-10,14,0.0,0.0,63.18,0.0,0,0,0,Thursday,DEL,0,0.0,10.813698630136987
1,2009-11-29,2011-07-22,2014-08-01,45,77.77777778,20.0,42.62,0.064372919,1,0,0,Monday,DEL,36,4.673972602739726,4.336986301369863
1,2010-12-07,2012-11-20,2012-11-20,46,93.47826087,15.2173913,165.07,0.0,0,0,0,Tuesday,DEL,44,1.9561643835616438,6.032876712328767
0,2010-08-18,2010-08-23,2010-08-23,0,0.0,0.0,29.68,0.0,0,0,0,Tuesday,DEL,0,0.0136986301369863,8.27945205479452
1,2009-07-08,2009-11-09,2013-10-10,45,4.444444444,2.222222222,39.41,0.006711409000000001,0,0,0,Friday,DEL,2,4.260273972602739,5.145205479452055
1,2011-01-18,2012-06-28,2012-06-28,47,2.127659574,0.0,73.07,0.0,0,0,0,Friday,DEL,1,1.4438356164383561,6.4301369863013695
1,2010-08-17,2011-04-26,2011-10-23,18,0.0,0.0,50.87,0.072222222,0,0,0,Wednesday,DEL,0,1.1835616438356165,7.112328767123287
1,2011-03-02,2011-03-02,2011-03-27,42,38.095238099999996,0.0,85.37,0.076923077,0,0,0,Monday,DEL,17,0.0684931506849315,7.6876712328767125
0,2010-08-12,2010-08-12,2010-08-12,0,0.0,0.0,60.3,0.0,0,0,0,Thursday,DEL,0,0.0,8.30958904109589
1,2009-05-10,2009-10-16,2011-10-18,44,25.0,11.36363636,117.32,0.032786885,1,0,0,Friday,DEL,11,2.441095890410959,7.126027397260274
1,2009-11-30,2009-11-30,2012-11-13,47,0.0,0.0,105.45,0.0037071359999999998,0,0,0,Tuesday,DEL,0,2.956164383561644,6.052054794520548
1,2011-11-04,2011-11-04,2012-07-29,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,Monday,BOM,4,0.7342465753424657,6.345205479452055
1,2008-07-10,2009-12-21,2009-12-21,45,6.666666667,0.0,52.4,0.0,0,0,0,Tuesday,DEL,4,1.4493150684931506,8.95068493150685
1,2011-03-23,2011-03-23,2014-03-01,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,Tuesday,BOM,35,2.9424657534246577,4.756164383561644
1,2010-04-16,2012-04-20,2012-04-20,16,0.0,0.0,33.57,0.0,0,0,0,Thursday,DEL,0,2.0136986301369864,6.619178082191781
0,2010-01-05,2011-09-05,2011-09-05,0,0.0,0.0,83.04,0.0,0,0,0,Monday,DEL,0,1.6657534246575343,7.243835616438356
0,2010-04-15,2011-04-14,2011-07-28,0,0.0,0.0,54.82,0.076190476,0,0,0,Thursday,DEL,0,1.284931506849315,7.35068493150685
1,2009-04-30,2009-07-05,2009-07-05,16,0.0,0.0,53.36,0.0,0,0,0,Friday,DEL,0,0.18082191780821918,9.413698630136986
0,2011-06-04,2011-06-04,2011-06-04,0,0.0,0.0,25.0,0.0,0,0,0,Thursday,DEL,0,0.0,7.498630136986302
1,2010-11-10,2010-11-10,2011-12-01,39,35.8974359,0.0,130.51,0.021505376,0,0,0,Tuesday,DEL,15,1.0575342465753426,7.005479452054795
0,2010-03-31,2010-12-09,2011-12-10,0,0.0,0.0,47.5,0.010126582,1,0,0,Thursday,DEL,0,1.6958904109589041,6.980821917808219
0,2010-03-05,2010-05-07,2010-11-11,0,0.0,0.0,111.86,0.054263566,0,0,0,Tuesday,DEL,0,0.6876712328767123,8.06027397260274
1,2010-01-12,2011-12-06,2013-07-22,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,Tuesday,MAA,9,3.526027397260274,5.364383561643836
0,2010-03-09,2010-09-24,2011-03-17,0,0.0,0.0,109.16,0.022988506000000002,0,0,0,Monday,DEL,0,1.021917808219178,7.715068493150685
0,2010-06-19,2010-06-30,2010-06-30,0,0.0,0.0,27.6,0.0,0,0,0,Thursday,DEL,0,0.030136986301369864,8.427397260273972
1,2010-06-09,2011-08-21,2011-08-21,38,28.94736842,18.42105263,54.62,0.0,0,0,0,Friday,BOM,11,1.2,7.284931506849315
0,2010-09-21,2011-10-03,2011-10-03,0,0.0,0.0,37.2,0.0,0,0,0,Thursday,BOM,0,1.0328767123287672,7.167123287671233
1,2009-11-13,2009-11-13,2009-11-13,40,22.5,0.0,139.88,0.0,0,0,0,Friday,DEL,9,0.0,9.054794520547945
0,2010-02-15,2010-02-22,2010-02-22,0,0.0,0.0,57.3,0.0,0,0,0,Monday,DEL,0,0.019178082191780823,8.778082191780822
1,2009-02-16,2010-09-20,2013-02-12,52,3.8461538460000004,1.9230769230000002,59.35,0.020530368,1,0,0,Monday,DEL,2,3.9917808219178084,5.802739726027397
1,2011-02-21,2011-02-28,2012-02-20,34,79.41176471,17.64705882,44.25,0.014005601999999999,0,0,0,Monday,DEL,28,0.9972602739726028,6.7835616438356166
1,2010-08-23,2011-01-26,2011-03-31,18,0.0,0.0,18.42,0.203125,0,0,0,Thursday,DEL,0,0.6027397260273972,7.676712328767123
1,2011-03-17,2011-05-05,2011-05-27,47,2.127659574,0.0,50.79,0.272727273,0,0,0,Friday,BOM,1,0.19452054794520549,7.52054794520548
1,2010-12-02,2011-04-10,2013-05-11,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,Wednesday,DEL,2,2.441095890410959,5.561643835616438
1,2009-10-29,2009-10-29,2009-11-22,16,0.0,0.0,37.81,0.083333333,0,0,0,Friday,DEL,0,0.06575342465753424,9.03013698630137
1,2011-06-02,2012-02-07,2012-02-07,42,23.80952381,0.0,16.14,0.0,0,0,0,Monday,BOM,11,0.684931506849315,6.8191780821917805
1,2010-06-27,2010-08-31,2013-06-11,45,22.22222222,8.888888889,104.22,0.012897678000000001,0,0,0,Wednesday,MAA,10,2.958904109589041,5.476712328767123
1,2011-01-03,2011-03-13,2011-11-04,42,23.80952381,0.0,86.73,0.10344827599999999,0,0,0,Monday,DEL,11,0.8356164383561644,7.079452054794521
1,2010-08-25,2010-08-25,2010-08-25,44,29.54545455,0.0,30.57,0.0,0,0,0,Friday,DEL,14,0.0,8.273972602739725
0,2009-07-14,2009-07-14,2009-07-14,0,0.0,0.0,23.65,0.0,0,0,0,Tuesday,DEL,0,0.0,9.389041095890411
1,2010-09-12,2010-12-22,2013-12-15,46,6.52173913,0.0,70.32,0.019283747,0,0,0,Monday,DEL,3,3.26027397260274,4.964383561643835
0,2010-09-28,2010-10-19,2010-10-19,0,0.0,0.0,57.76,0.0,0,0,0,Wednesday,DEL,0,0.057534246575342465,8.123287671232877
1,2010-08-27,2011-10-02,2012-07-31,47,17.0212766,6.382978723,55.18,0.020484171000000002,0,0,0,Wednesday,BOM,9,1.9287671232876713,6.33972602739726
1,2010-06-10,2010-10-13,2013-11-12,48,4.166666667,0.0,96.37,0.007792208,1,0,0,Monday,DEL,3,3.4273972602739726,5.054794520547945
0,2011-02-23,2011-02-24,2011-02-24,0,0.0,0.0,55.68,0.0,0,0,0,Friday,BOM,0,0.0027397260273972603,7.772602739726027
1,2009-06-12,2009-06-12,2009-06-12,16,0.0,0.0,20.2,0.0,0,0,0,Monday,DEL,0,0.0,9.476712328767123
0,2009-08-26,2009-08-26,2009-08-26,0,0.0,0.0,29.0,0.0,0,0,0,Thursday,DEL,0,0.0,9.271232876712329
1,2008-04-12,2010-01-19,2014-01-15,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,Monday,DEL,1,5.764383561643836,4.879452054794521
0,2011-07-03,2011-08-03,2011-10-04,0,0.0,0.0,171.7,0.060606060999999996,0,0,0,Tuesday,BOM,0,0.2547945205479452,7.164383561643835
1,2011-02-13,2011-04-08,2011-11-14,34,64.70588235,2.9411764710000003,93.96,0.019607843,0,0,0,Friday,BOM,22,0.7506849315068493,7.052054794520548
0,2010-07-09,2011-01-25,2013-05-28,0,0.0,0.0,67.95,0.018735363,0,0,0,Wednesday,DEL,0,2.8876712328767122,5.515068493150685
1,2010-01-29,2010-10-22,2013-10-10,47,2.127659574,0.0,110.02,0.04704797,0,0,0,Tuesday,DEL,1,3.6986301369863015,5.145205479452055
1,2011-02-18,2011-12-05,2012-01-13,47,0.0,0.0,37.35,0.016260163,0,0,0,Thursday,BOM,0,0.9013698630136986,6.887671232876713
0,2009-10-12,2009-10-12,2010-05-02,0,0.0,0.0,21.98,0.052631579000000005,0,0,0,Friday,DEL,0,0.5534246575342465,8.58904109589041
0,2010-02-05,2011-07-07,2011-07-27,0,0.0,0.0,147.35,0.45,0,0,0,Friday,DEL,0,1.4712328767123288,7.353424657534247
0,2011-01-13,2011-09-28,2012-06-02,0,0.0,0.0,99.47,0.022900762999999998,0,0,0,Wednesday,DEL,0,1.3863013698630138,6.501369863013698
0,2009-09-11,2010-08-19,2011-11-17,0,0.0,0.0,75.83,0.041758242,0,0,0,Friday,DEL,0,2.1835616438356165,7.043835616438356
0,2010-09-28,2010-09-29,2010-09-29,0,0.0,0.0,83.85,0.0,0,0,0,Thursday,DEL,0,0.0027397260273972603,8.178082191780822
0,2009-11-15,2010-03-29,2010-03-29,2,50.0,0.0,31.04,0.0,0,0,0,Monday,DEL,1,0.36712328767123287,8.682191780821919
1,2011-04-22,2011-04-22,2014-01-19,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,Monday,BOM,18,2.747945205479452,4.868493150684931
1,2011-01-29,2011-02-13,2014-01-16,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,Monday,BOM,35,2.967123287671233,4.876712328767123
1,2010-08-30,2013-06-17,2013-07-07,47,0.0,0.0,44.94,0.2,0,0,0,Wednesday,DEL,0,2.8547945205479452,5.405479452054794
1,2011-01-18,2013-06-30,2013-06-30,44,4.545454545,0.0,50.94,0.0,0,0,0,Monday,DEL,2,2.4493150684931506,5.424657534246576
1,2011-03-27,2013-06-10,2013-06-10,34,23.52941176,8.823529412000001,41.0,0.0,0,0,0,Thursday,BOM,8,2.208219178082192,5.47945205479452
1,2010-09-11,2011-11-01,2013-04-03,45,4.444444444,0.0,46.46,0.039591315,0,0,0,Tuesday,BOM,2,2.5616438356164384,5.6657534246575345
1,2009-10-11,2009-11-17,2009-12-14,16,0.0,0.0,49.8,0.111111111,0,0,0,Friday,DEL,0,0.17534246575342466,8.96986301369863
0,2010-04-26,2010-11-23,2010-11-23,0,0.0,0.0,28.37,0.0,0,0,0,Wednesday,DEL,0,0.5780821917808219,8.027397260273972
0,2009-08-27,2009-08-27,2009-08-27,0,0.0,0.0,27.57,0.0,0,0,0,Tuesday,DEL,0,0.0,9.26849315068493
1,2011-04-22,2011-06-13,2012-05-20,45,2.222222222,0.0,63.28,0.00877193,0,0,0,Monday,DEL,1,1.0794520547945206,6.536986301369863
1,2010-02-07,2011-04-07,2013-01-09,45,11.11111111,0.0,55.71,0.0075949369999999995,0,0,0,Thursday,DEL,5,2.9232876712328766,5.895890410958904
0,2011-01-24,2011-01-24,2011-01-24,0,0.0,0.0,30.63,0.0,0,0,0,Tuesday,DEL,0,0.0,7.857534246575343
1,2010-09-07,2011-12-04,2013-06-09,38,28.94736842,0.0,28.7,0.089977221,1,0,0,Wednesday,MAA,11,2.756164383561644,5.482191780821918
0,2010-05-30,2010-05-30,2010-05-30,0,0.0,0.0,26.25,0.0,0,0,0,Monday,DEL,0,0.0,8.512328767123288
1,2010-11-16,2011-04-22,2014-01-19,72,30.55555556,0.0,80.06,0.175473579,0,1,0,Monday,BOM,23,3.1780821917808217,4.868493150684931
1,2008-07-08,2010-03-24,2014-01-14,51,19.60784314,13.7254902,53.37,0.12212643699999999,0,1,0,Wednesday,DEL,11,5.523287671232877,4.882191780821918
1,2011-12-01,2012-05-21,2012-06-28,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,Tuesday,DEL,3,0.5753424657534246,6.4301369863013695
0,2010-04-15,2010-04-15,2010-04-15,0,0.0,0.0,142.5,0.0,0,0,0,Friday,DEL,0,0.0,8.635616438356164
0,2011-11-05,2011-11-06,2011-11-06,0,0.0,0.0,53.95,0.0,0,0,0,Tuesday,DEL,0,0.0027397260273972603,7.073972602739726
0,2010-10-02,2011-09-01,2012-07-10,0,0.0,0.0,70.83,0.018838305,0,0,0,Monday,DEL,0,1.7726027397260273,6.397260273972603
1,2010-04-10,2011-02-03,2011-02-03,40,5.0,0.0,48.29,0.0,0,0,0,Thursday,DEL,2,0.8191780821917808,7.83013698630137
0,2011-01-24,2011-07-04,2013-02-19,0,0.0,0.0,180.43,0.043859649,1,0,0,Friday,DEL,0,2.073972602739726,5.7835616438356166
0,2011-02-18,2011-03-27,2013-08-19,0,0.0,0.0,151.63,0.057077626,1,0,0,Friday,DEL,0,2.5013698630136987,5.287671232876712
0,2011-03-05,2011-03-05,2011-03-05,0,0.0,0.0,47.16,0.0,0,0,0,Wednesday,DEL,0,0.0,7.747945205479452
0,2010-12-10,2012-01-02,2012-01-02,0,0.0,0.0,52.62,0.0,0,0,0,Wednesday,BOM,0,1.063013698630137,6.917808219178082
1,2010-09-27,2010-11-10,2010-11-10,41,14.63414634,2.43902439,41.29,0.0,0,0,0,Wednesday,DEL,6,0.12054794520547946,8.063013698630137
0,2010-03-17,2010-03-17,2010-03-17,28,21.42857143,0.0,30.09,0.0,0,0,0,Thursday,DEL,7,0.0,8.715068493150685
0,2010-08-25,2011-10-25,2011-11-15,27,62.96296296,0.0,72.78,0.19047619,0,0,0,Wednesday,DEL,17,1.2246575342465753,7.049315068493151
1,2010-09-20,2011-04-17,2011-04-17,46,4.347826087,2.173913043,103.83,0.0,1,0,0,Tuesday,DEL,3,0.5726027397260274,7.63013698630137
1,2010-12-08,2011-07-01,2013-05-11,48,10.41666667,8.333333332999999,132.43,0.052274927,1,0,0,Tuesday,DEL,6,2.4246575342465753,5.561643835616438
0,2011-12-04,2011-12-04,2011-12-04,0,0.0,0.0,63.9,0.0,0,0,0,Tuesday,DEL,0,0.0,6.997260273972603
0,2011-01-24,2011-03-20,2013-09-26,0,0.0,0.0,53.85,0.060803474,1,0,0,Friday,DEL,0,2.673972602739726,5.183561643835616
0,2009-06-26,2010-01-21,2010-07-20,0,0.0,0.0,48.81,0.24444444399999998,0,0,0,Thursday,DEL,0,1.0657534246575342,8.372602739726027
0,2011-06-03,2011-10-03,2011-10-03,0,0.0,0.0,67.94,0.0,0,0,0,Thursday,BOM,0,0.33424657534246577,7.167123287671233
1,2009-12-17,2011-05-16,2012-03-09,45,0.0,0.0,71.56,0.004201681,0,0,0,Tuesday,DEL,0,2.2273972602739724,6.734246575342466
0,2010-11-17,2010-11-17,2010-11-17,0,0.0,0.0,49.83,0.0,0,0,0,Friday,DEL,0,0.0,8.043835616438356
1,2010-10-21,2011-03-25,2012-03-30,18,0.0,0.0,40.97,0.016172507,0,0,0,Friday,BOM,0,1.441095890410959,6.676712328767123
1,2010-02-09,2010-07-11,2013-10-21,53,3.7735849060000004,1.8867924530000002,85.39,0.014828545,0,0,0,Monday,DEL,3,3.6986301369863015,5.115068493150685
1,2010-08-27,2011-11-15,2011-11-15,38,39.47368421,15.78947368,52.15,0.0,0,0,0,Thursday,BOM,15,1.2191780821917808,7.049315068493151
0,2011-01-23,2011-03-29,2011-05-16,0,0.0,0.0,35.82,0.333333333,0,0,0,Tuesday,BOM,0,0.3095890410958904,7.550684931506849
0,2010-02-09,2010-09-15,2010-10-13,0,0.0,0.0,33.81,0.17857142899999998,0,0,0,Thursday,BOM,0,0.673972602739726,8.139726027397261
1,2010-09-18,2010-09-20,2012-08-24,32,93.75,0.0,74.45,0.009943182,0,0,0,Monday,DEL,30,1.9342465753424658,6.273972602739726
1,2011-06-03,2011-06-04,2014-01-19,60,30.0,8.333333332999999,147.77,0.122669284,0,0,1,Friday,BOM,18,2.632876712328767,4.868493150684931
0,2008-07-21,2008-08-19,2009-07-04,0,0.0,0.0,16.09,0.034632035,0,0,0,Tuesday,DEL,0,0.9534246575342465,9.416438356164383
0,2009-11-24,2010-10-22,2014-01-13,13,100.0,46.15384615,74.59,0.039864292,1,1,0,Friday,DEL,13,4.13972602739726,4.884931506849315
1,2010-08-22,2010-08-22,2013-06-17,47,4.255319149,4.255319149,48.01,0.006796117,0,0,0,Monday,DEL,3,2.8219178082191783,5.46027397260274
1,2010-01-09,2011-01-05,2013-06-17,48,2.083333333,0.0,228.24,0.075835476,0,0,0,Monday,DEL,1,3.4383561643835616,5.46027397260274
1,2010-03-23,2010-04-27,2013-06-11,48,16.66666667,10.41666667,49.81,0.010861133,0,0,0,Friday,DEL,9,3.221917808219178,5.476712328767123
1,2011-02-24,2011-04-24,2011-04-30,16,0.0,0.0,79.25,0.333333333,0,0,0,Monday,DEL,0,0.1780821917808219,7.594520547945206
1,2009-12-27,2010-05-03,2011-07-13,45,8.888888889,2.222222222,50.49,0.074747475,0,0,0,Friday,DEL,5,1.5424657534246575,7.391780821917808
1,2011-02-14,2011-02-14,2011-02-14,45,0.0,0.0,41.81,0.0,0,0,0,Monday,DEL,0,0.0,7.8
1,2010-10-27,2010-11-15,2014-01-16,47,31.91489362,4.255319149,34.51,0.008635579,0,0,0,Wednesday,BOM,16,3.2246575342465755,4.876712328767123
1,2009-09-09,2010-03-18,2012-10-25,46,13.04347826,0.0,48.65,0.022058823999999998,0,0,0,Friday,DEL,6,3.128767123287671,6.104109589041096
1,2009-06-05,2011-02-22,2013-05-11,44,45.45454545,11.36363636,54.35,0.051671733,0,0,0,Tuesday,DEL,20,3.9342465753424656,5.561643835616438
1,2010-07-22,2013-02-09,2013-12-30,41,29.26829268,4.87804878,50.46,0.016806723,1,0,0,Tuesday,BOM,12,3.4438356164383563,4.923287671232877
1,2010-11-01,2010-11-01,2010-11-01,45,6.666666667,2.222222222,25.93,0.0,0,0,0,Tuesday,DEL,4,0.0,8.087671232876712
1,2011-08-04,2011-11-04,2011-11-04,44,6.818181817999999,0.0,200.24,0.0,0,0,0,Wednesday,BOM,3,0.25205479452054796,7.079452054794521
0,2009-11-12,2009-12-21,2013-06-15,0,0.0,0.0,168.93,0.011792453,1,0,0,Monday,DEL,0,3.591780821917808,5.465753424657534
0,2010-09-07,2011-06-07,2011-06-07,0,0.0,0.0,50.73,0.0,0,0,0,Wednesday,DEL,0,0.7479452054794521,7.49041095890411
1,2010-10-16,2010-10-16,2013-12-17,52,17.30769231,5.769230769,90.59,0.015544041000000001,1,0,0,Monday,BOM,10,3.1726027397260275,4.958904109589041
1,2010-01-09,2010-11-23,2013-11-26,51,1.960784314,0.0,63.53,0.020018198,0,0,0,Wednesday,DEL,2,3.882191780821918,5.016438356164383
1,2010-10-24,2011-01-13,2013-03-10,46,0.0,0.0,149.33,0.02917505,1,0,0,Thursday,DEL,0,2.378082191780822,5.7315068493150685
1,2010-02-11,2010-12-26,2011-01-19,42,14.28571429,2.3809523809999997,99.97,0.208333333,0,0,0,Tuesday,DEL,7,0.936986301369863,7.8712328767123285
1,2011-01-18,2011-05-04,2013-05-11,47,10.63829787,0.0,115.96,0.037037037,1,0,0,Monday,DEL,5,2.3123287671232875,5.561643835616438
0,2011-07-04,2011-12-04,2011-12-04,0,0.0,0.0,27.98,0.0,0,0,0,Friday,BOM,0,0.4191780821917808,6.997260273972603
0,2010-09-19,2010-09-26,2010-09-26,0,0.0,0.0,113.96,0.0,0,0,0,Tuesday,DEL,0,0.019178082191780823,8.186301369863013
1,2011-03-16,2011-04-14,2013-09-19,49,10.20408163,2.040816327,267.6,0.032620922000000004,0,0,0,Thursday,BOM,5,2.515068493150685,5.2027397260273975
